epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3237,1.33144,4.07305,1.2466,0.76979,0.83008,0.8425,0.57484,1.09329,1.695,1.00707,0.000233143,0.000233143,0.000233143
2,70.3444,1.10426,1.32888,1.10872,0.88053,0.85495,0.90168,0.59712,1.16902,1.17195,1.10246,0.000468811,0.000468811,0.000468811
3,105.772,1.09756,1.08744,1.11169,0.95845,0.86078,0.94396,0.66992,1.07024,1.0615,1.04246,0.000702122,0.000702122,0.000702122
4,140.383,0.98787,0.94572,1.07157,0.93816,0.89285,0.95142,0.69445,0.89279,0.83105,0.98218,0.000703397,0.000703397,0.000703397
5,174.819,1.03782,0.87159,1.08641,0.91813,0.92147,0.95376,0.74097,0.81641,0.7146,1.00585,0.000699863,0.000699863,0.000699863
6,209.533,0.96407,0.79839,1.06494,0.94528,0.93103,0.96649,0.62726,1.17676,1.02783,1.10547,0.000696328,0.000696328,0.000696328
7,244.311,0.94827,0.79508,1.07145,0.9639,0.90874,0.96685,0.73654,0.87423,0.80513,0.99043,0.000692794,0.000692794,0.000692794
8,279.364,0.90968,0.71637,1.03068,0.96922,0.94669,0.97314,0.7454,0.90617,0.66385,0.99628,0.00068926,0.00068926,0.00068926
9,314.227,0.94341,0.71738,1.04365,0.94344,0.93907,0.97144,0.72629,0.97859,0.68502,1.06089,0.000685726,0.000685726,0.000685726
10,349.808,0.87784,0.68181,1.02849,0.98534,0.97373,0.9905,0.75442,0.8646,0.51338,0.9862,0.000682191,0.000682191,0.000682191
11,385.426,0.8658,0.61127,1.01737,0.96875,0.95448,0.97474,0.74804,0.80396,0.64914,0.9727,0.000678657,0.000678657,0.000678657
12,420.207,0.89601,0.65579,1.02798,0.94172,0.95633,0.97987,0.74759,0.90496,0.58817,0.99427,0.000675123,0.000675123,0.000675123
13,455.242,0.83796,0.62162,1.0026,0.97493,0.94454,0.98042,0.73623,0.94022,0.53758,1.01189,0.000671588,0.000671588,0.000671588
14,489.624,0.83152,0.61736,1.00705,0.945,0.96326,0.9753,0.78289,0.75151,0.50544,0.97195,0.000668054,0.000668054,0.000668054
15,523.935,0.84975,0.62836,1.0098,0.9715,0.95797,0.98013,0.70399,0.95107,0.52914,0.99076,0.00066452,0.00066452,0.00066452
16,558.143,0.84599,0.61398,1.0185,0.96418,0.93441,0.97816,0.74032,0.94279,0.53462,1.02899,0.000660986,0.000660986,0.000660986
17,592.353,0.81128,0.605,0.98741,0.96453,0.95769,0.97571,0.75145,0.85299,0.48473,1.01786,0.000657451,0.000657451,0.000657451
18,626.712,0.81987,0.56912,1.01525,0.9695,0.96329,0.9824,0.7823,0.84234,0.51545,1.00867,0.000653917,0.000653917,0.000653917
19,661.656,0.80115,0.563,0.99342,0.98387,0.95055,0.98293,0.79693,0.71175,0.42981,0.93038,0.000650383,0.000650383,0.000650383
20,697.636,0.75969,0.55143,0.97872,0.98327,0.95893,0.98983,0.80773,0.73318,0.44878,0.95113,0.000646848,0.000646848,0.000646848
